OTU,Kingdom,Phylum,Class,Order,Family,Genus,Species
OTU351,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,NA,NA
OTU352,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,NA,NA
OTU353,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,NA,NA
OTU354,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Roseburia,NA
OTU355,Bacteria,Firmicutes,Clostridia,Clostridia vadinBB60 group,NA,NA,NA
OTU356,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,NA,NA
OTU357,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,NA,NA
OTU358,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,NA,NA
OTU359,Bacteria,Actinobacteriota,Coriobacteriia,Coriobacteriales,Eggerthellaceae,Enterorhabdus,NA
OTU360,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae NK4A136 group,NA
OTU361,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Marvinbryantia,NA
OTU362,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,NA,NA
OTU363,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,NA
OTU364,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,NA,NA
OTU365,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,NA,NA
OTU366,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ethanoligenenaceae,NA,NA
OTU367,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,NA,NA
OTU368,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,NA,NA
OTU369,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,NA,NA
OTU370,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae NK4A136 group,NA
OTU371,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,NA,NA
OTU372,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae NK4A136 group,NA
OTU373,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,NA
OTU374,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,NA,NA
OTU375,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,NA,NA
OTU376,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,NA,NA
OTU377,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae NK4A136 group,NA
OTU378,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelatoclostridiaceae,Erysipelatoclostridium,NA
OTU379,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,NA,NA
OTU380,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,NA,NA
OTU381,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,NA,NA
OTU382,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,NA,NA
OTU383,Bacteria,Firmicutes,Clostridia,Monoglobales,Monoglobaceae,Monoglobus,NA
OTU384,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,Incertae Sedis,NA
OTU385,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,NA,NA
OTU386,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,NA,NA
OTU387,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,NA,NA
OTU388,Bacteria,Firmicutes,Clostridia,Clostridia UCG-014,NA,NA,NA
OTU389,Bacteria,Firmicutes,Clostridia,Clostridia vadinBB60 group,NA,NA,NA
OTU390,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae NK4A136 group,NA
OTU391,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,NA,NA
OTU392,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae UCG-001,NA
OTU393,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,Oscillibacter,NA
OTU394,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotellaceae UCG-001,NA
OTU395,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,NA,NA
OTU396,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae NK4A136 group,NA
OTU397,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,NA
OTU398,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae NK4A136 group,NA
OTU399,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,NA,NA
OTU400,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,NA,NA
OTU401,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,NA,NA,NA
OTU402,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,NA,NA
OTU403,Bacteria,Firmicutes,Clostridia,Peptococcales,Peptococcaceae,NA,NA
OTU404,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae NK4A136 group,NA
OTU405,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae NK4A136 group,NA
OTU406,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae NK4A136 group,NA
OTU407,Bacteria,Firmicutes,Clostridia,Clostridia UCG-014,NA,NA,NA
OTU408,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae UCG-006,NA
OTU409,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,NA,NA
OTU410,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,NA,NA
OTU411,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,NA,NA
OTU412,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,NA,NA
OTU413,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,NA,NA
OTU414,Bacteria,Firmicutes,Clostridia,Clostridia vadinBB60 group,NA,NA,NA
OTU415,Bacteria,Firmicutes,Bacilli,Staphylococcales,Staphylococcaceae,Jeotgalicoccus,NA
OTU416,Bacteria,Firmicutes,Clostridia,Oscillospirales,Butyricicoccaceae,UCG-009,NA
OTU417,Bacteria,Firmicutes,Clostridia,Oscillospirales,UCG-010,NA,NA
OTU418,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,NA,NA
OTU419,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae NK4A136 group,NA
OTU420,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae UCG-001,NA
OTU421,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,NA,NA
OTU422,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Anaerovoracaceae,Family XIII UCG-001,NA
OTU423,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,NA,NA
OTU424,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae NK4A136 group,NA
OTU425,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae NK4A136 group,NA
OTU426,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,NA,NA
OTU427,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae NK4A136 group,NA
OTU428,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,NA
OTU429,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,NA,NA
OTU430,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,NA,NA
OTU431,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,NA,NA
OTU432,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,NA,NA
