Sample,OTU117,OTU947,OTU815,OTU245,OTU877,OTU210,OTU617,OTU997,OTU876,OTU944,OTU1055,OTU550,OTU1054,OTU670,OTU1077,OTU247,OTU574,OTU1038,OTU999,OTU983,OTU2,OTU840,OTU693,OTU735,OTU801,OTU295,OTU1064,OTU69,OTU334,OTU468,OTU592,OTU899,OTU978,OTU671,OTU794,OTU1113,OTU504,OTU858,OTU730,OTU378,OTU1096,OTU1024,OTU299,OTU1074,OTU731,OTU880,OTU615,OTU914,OTU58,OTU466,OTU102,OTU327,OTU259,OTU146,OTU1034,OTU1148,OTU546,OTU885,OTU410,OTU72,OTU807,OTU1013,OTU562,OTU1095,OTU1044,OTU400,OTU605,OTU10,OTU180,OTU443,OTU975,OTU995,OTU467,OTU654,OTU382,OTU846,OTU118,OTU116,OTU1065,OTU754,OTU873,OTU372,OTU516,OTU1007,OTU1125,OTU178,OTU496,OTU836,OTU878,OTU1151,OTU360,OTU628,OTU954,OTU721,OTU894,OTU329,OTU101,OTU819,OTU509,OTU396,OTU969,OTU610,OTU839,OTU982,OTU7,OTU850,OTU848,OTU1026,OTU1040,OTU304,OTU76,OTU785,OTU111,OTU298,OTU895,OTU335,OTU184,OTU56,OTU1003,OTU1053,OTU646,OTU799,OTU272,OTU668,OTU43,OTU949,OTU442,OTU333,OTU236,OTU938,OTU805,OTU207,OTU552,OTU988,OTU935,OTU321,OTU1133,OTU1062,OTU526,OTU336,OTU611,OTU513,OTU701,OTU446,OTU142,OTU602,OTU191,OTU119,OTU350,OTU211,OTU726,OTU791,OTU581,OTU844,OTU709,OTU863,OTU447,OTU587,OTU143,OTU1083,OTU15,OTU425,OTU154,OTU1005,OTU1124,OTU532,OTU737,OTU908,OTU537,OTU228,OTU158,OTU871,OTU817,OTU545,OTU176,OTU980,OTU1080,OTU522,OTU282,OTU251,OTU1009,OTU870,OTU572,OTU478,OTU164,OTU141,OTU460,OTU650,OTU238,OTU820,OTU226,OTU795,OTU502,OTU584,OTU960,OTU418,OTU759,OTU934,OTU862,OTU957,OTU523,OTU132,OTU464,OTU314,OTU362,OTU85,OTU136,OTU625,OTU689,OTU948,OTU992,OTU452,OTU1028,OTU727,OTU244,OTU411,OTU823,OTU469,OTU520,OTU218,OTU1030,OTU359,OTU893,OTU135,OTU250,OTU303,OTU1110,OTU225,OTU832,OTU320,OTU663,OTU800,OTU240,OTU1050,OTU1097,OTU706,OTU91,OTU955,OTU403,OTU148,OTU979,OTU1075,OTU648,OTU565,OTU640,OTU647,OTU590,OTU380,OTU11,OTU1049,OTU1087,OTU644,OTU257,OTU774,OTU889,OTU52,OTU942,OTU1012,OTU596,OTU808,OTU814,OTU174,OTU835,OTU1084,OTU887,OTU121,OTU718,OTU738,OTU415,OTU958,OTU494,OTU401,OTU315,OTU263,OTU279,OTU542,OTU319,OTU173,OTU620,OTU92,OTU676,OTU981,OTU1106,OTU907,OTU984,OTU77,OTU576,OTU445,OTU458,OTU145,OTU471,OTU199,OTU707,OTU1070,OTU697,OTU486,OTU579,OTU964,OTU316,OTU103,OTU867,OTU548,OTU339,OTU568,OTU631,OTU444,OTU598,OTU748,OTU564,OTU861,OTU371,OTU838,OTU25,OTU196,OTU993,OTU1061,OTU224,OTU725,OTU776,OTU1018,OTU1122,OTU168,OTU940,OTU122,OTU83,OTU566,OTU1035,OTU170,OTU661,OTU833,OTU1118,OTU790,OTU428,OTU621,OTU22,OTU956,OTU1146,OTU493,OTU9,OTU853,OTU195,OTU694,OTU619,OTU1073,OTU530,OTU945,OTU288,OTU1082,OTU924,OTU156,OTU1098,OTU487,OTU757,OTU822,OTU772,OTU163,OTU242,OTU1076,OTU254,OTU42,OTU417,OTU126,OTU1011,OTU558,OTU591,OTU809,OTU732,OTU716,OTU16,OTU1059,OTU296,OTU616,OTU128,OTU1002,OTU190,OTU675,OTU728,OTU764,OTU767,OTU260,OTU157,OTU763,OTU554,OTU256,OTU804,OTU941,OTU67,OTU779,OTU330,OTU57,OTU393,OTU343,OTU223,OTU916,OTU903,OTU968,OTU588,OTU746,OTU388,OTU231,OTU287,OTU1108,OTU569,OTU1048,OTU220,OTU1088,OTU280,OTU843,OTU138,OTU187,OTU311,OTU402,OTU951,OTU79,OTU932,OTU1021,OTU123,OTU866,OTU439,OTU189,OTU691,OTU389,OTU626,OTU87,OTU571,OTU229,OTU769,OTU262,OTU612,OTU20,OTU302,OTU538,OTU96,OTU66,OTU695,OTU973,OTU544,OTU3,OTU852,OTU234,OTU806,OTU104,OTU1143,OTU289,OTU473,OTU414,OTU743,OTU441,OTU653,OTU739,OTU337,OTU227,OTU216,OTU1127,OTU713,OTU708,OTU506,OTU492,OTU828,OTU601,OTU792,OTU784,OTU17,OTU361,OTU1131,OTU1036,OTU292,OTU352,OTU129,OTU555,OTU583,OTU865,OTU98,OTU1115,OTU920,OTU1,OTU322,OTU317,OTU1052,OTU357,OTU1100,OTU1139,OTU505,OTU869,OTU50,OTU573,OTU192,OTU249,OTU407,OTU1121,OTU842,OTU281,OTU74,OTU112,OTU404,OTU62,OTU278,OTU429,OTU373,OTU215,OTU524,OTU614,OTU355,OTU366,OTU5,OTU845,OTU503,OTU534,OTU712,OTU658,OTU368,OTU432,OTU771,OTU741,OTU681,OTU63,OTU813,OTU181,OTU1031,OTU1150,OTU541,OTU521,OTU677,OTU830,OTU437,OTU290,OTU667,OTU803,OTU276,OTU433,OTU243,OTU159,OTU837,OTU483,OTU636,OTU258,OTU561,OTU768,OTU8,OTU847,OTU120,OTU649,OTU328,OTU481,OTU659,OTU472,OTU627,OTU499,OTU152,OTU711,OTU305,OTU758,OTU248,OTU788,OTU655,OTU345,OTU325,OTU19,OTU38,OTU683,OTU408,OTU1004,OTU603,OTU294,OTU130,OTU553,OTU556,OTU1152,OTU855,OTU780,OTU755,OTU632,OTU109,OTU872,OTU736,OTU986,OTU419,OTU140,OTU928,OTU939,OTU89,OTU723,OTU577,OTU637,OTU208,OTU1109,OTU796,OTU497,OTU221,OTU760,OTU531,OTU962,OTU53,OTU770,OTU563,OTU265,OTU18,OTU80,OTU1056,OTU967,OTU702,OTU1149,OTU204,OTU543,OTU198,OTU775,OTU703,OTU267,OTU868,OTU525,OTU399,OTU826,OTU365,OTU1020,OTU1126,OTU266,OTU293,OTU346,OTU491,OTU40,OTU255,OTU751,OTU200,OTU489,OTU729,OTU219,OTU897,OTU1071,OTU1037,OTU27,OTU812,OTU953,OTU421,OTU722,OTU963,OTU599,OTU896,OTU384,OTU139,OTU324,OTU623,OTU841,OTU678,OTU645,OTU802,OTU64,OTU974,OTU994,OTU269,OTU459,OTU160,OTU457,OTU370,OTU688,OTU859,OTU398,OTU332,OTU971,OTU435,OTU476,OTU1069,OTU786,OTU734,OTU651,OTU824,OTU634,OTU363,OTU32,OTU93,OTU692,OTU1010,OTU338,OTU911,OTU500,OTU1042,OTU926,OTU589,OTU892,OTU463,OTU1079,OTU789,OTU162,OTU643,OTU68,OTU149,OTU536,OTU535,OTU970,OTU756,OTU512,OTU405,OTU1093,OTU1132,OTU106,OTU560,OTU94,OTU26,OTU453,OTU1147,OTU936,OTU194,OTU976,OTU383,OTU510,OTU961,OTU1130,OTU1091,OTU1092,OTU1086,OTU424,OTU390,OTU110,OTU41,OTU630,OTU704,OTU919,OTU690,OTU821,OTU918,OTU46,OTU1137,OTU270,OTU900,OTU308,OTU930,OTU171,OTU386,OTU284,OTU133,OTU271,OTU379,OTU374,OTU341,OTU47,OTU212,OTU740,OTU998,OTU59,OTU881,OTU959,OTU1029,OTU720,OTU1135,OTU698,OTU61,OTU1016,OTU45,OTU82,OTU277,OTU1107,OTU1045,OTU1023,OTU849,OTU528,OTU1140,OTU952,OTU1141,OTU669,OTU1047,OTU816,OTU391,OTU369,OTU679,OTU273,OTU246,OTU395,OTU1046,OTU864,OTU161,OTU36,OTU539,OTU430,OTU886,OTU150,OTU1102,OTU331,OTU1089,OTU1078,OTU742,OTU696,OTU508,OTU427,OTU301,OTU454,OTU749,OTU431,OTU344,OTU882,OTU49,OTU65,OTU37,OTU394,OTU1068,OTU937,OTU39,OTU88,OTU484,OTU511,OTU898,OTU1001,OTU498,OTU519,OTU915,OTU977,OTU179,OTU24,OTU891,OTU660,OTU557,OTU237,OTU275,OTU209,OTU818,OTU686,OTU549,OTU213,OTU166,OTU715,OTU147,OTU84,OTU449,OTU657,OTU665,OTU1105,OTU12,OTU1006,OTU1015,OTU412,OTU1119,OTU264,OTU202,OTU367,OTU100,OTU165,OTU1112,OTU108,OTU609,OTU409,OTU925,OTU1104,OTU222,OTU197,OTU527,OTU482,OTU456,OTU717,OTU685,OTU989,OTU286,OTU761,OTU214,OTU488,OTU618,OTU917,OTU28,OTU342,OTU517,OTU75,OTU797,OTU1090,OTU169,OTU673,OTU392,OTU606,OTU455,OTU912,OTU624,OTU883,OTU990,OTU241,OTU107,OTU1117,OTU364,OTU674,OTU114,OTU875,OTU904,OTU827,OTU782,OTU752,OTU1101,OTU1017,OTU1120,OTU501,OTU125,OTU21,OTU783,OTU310,OTU1085,OTU4,OTU1025,OTU901,OTU475,OTU608,OTU762,OTU70,OTU35,OTU155,OTU78,OTU306,OTU480,OTU113,OTU946,OTU268,OTU559,OTU127,OTU753,OTU682,OTU1114,OTU641,OTU326,OTU413,OTU206,OTU351,OTU151,OTU1019,OTU448,OTU642,OTU987,OTU933,OTU420,OTU1136,OTU48,OTU495,OTU733,OTU1051,OTU34,OTU943,OTU6,OTU406,OTU778,OTU71,OTU567,OTU856,OTU436,OTU652,OTU252,OTU479,OTU825,OTU529,OTU340,OTU787,OTU600,OTU747,OTU923,OTU578,OTU582,OTU829,OTU253,OTU470,OTU235,OTU629,OTU586,OTU376,OTU595,OTU888,OTU950,OTU705,OTU153,OTU666,OTU167,OTU744,OTU710,OTU857,OTU81,OTU451,OTU687,OTU575,OTU440,OTU921,OTU1128,OTU909,OTU465,OTU29,OTU387,OTU283,OTU137,OTU438,OTU927,OTU699,OTU874,OTU353,OTU700,OTU193,OTU44,OTU90,OTU635,OTU811,OTU239,OTU358,OTU1129,OTU274,OTU14,OTU377,OTU397,OTU913,OTU890,OTU1039,OTU594,OTU285,OTU461,OTU201,OTU851,OTU656,OTU312,OTU55,OTU1138,OTU426,OTU291,OTU672,OTU593,OTU1123,OTU261,OTU347,OTU860,OTU354,OTU313,OTU922,OTU547,OTU477,OTU613,OTU929,OTU205,OTU233,OTU172,OTU356,OTU51,OTU972,OTU186,OTU745,OTU680,OTU13,OTU684,OTU485,OTU1008,OTU1134,OTU604,OTU182,OTU570,OTU1027,OTU798,OTU1060,OTU831,OTU639,OTU86,OTU638,OTU879,OTU177,OTU1103,OTU450,OTU416,OTU902,OTU318,OTU73,OTU996,OTU662,OTU230,OTU991,OTU307,OTU23,OTU385,OTU490,OTU300,OTU777,OTU515,OTU185,OTU297,OTU781,OTU714,OTU1033,OTU31,OTU1081,OTU1063,OTU518,OTU462,OTU719,OTU131,OTU664,OTU724,OTU1142,OTU188,OTU793,OTU551,OTU910,OTU580,OTU1000,OTU1032,OTU434,OTU1144,OTU931,OTU33,OTU232,OTU514,OTU905,OTU144,OTU348,OTU533,OTU1041,OTU540,OTU423,OTU854,OTU95,OTU633,OTU60,OTU134,OTU105,OTU966,OTU1057,OTU422,OTU1022,OTU97,OTU607,OTU906,OTU810,OTU965,OTU1111,OTU1072,OTU115,OTU773,OTU765,OTU1099,OTU309,OTU622,OTU381,OTU1058,OTU766,OTU834,OTU985,OTU507,OTU597,OTU474,OTU1043,OTU349,OTU54,OTU203,OTU1145,OTU323,OTU1067,OTU750,OTU183,OTU1014,OTU585,OTU1116,OTU375,OTU1066,OTU175,OTU124,OTU884,OTU99,OTU217,OTU30,OTU1094
Control-5,4.535120733,1.974564654,0,0,0,4.508836142,0,1.628972275,0,1.974564654,0,3.465457922,0,0,1.173610733,0,0,0,1.628972275,0,11.89878912,0,0,0,0,2.486569454,0,0,0,0,0,0,0,0,0,0,4.247863945,0,0,0,0,0,0,1.173610733,0,0,0,2.120578034,5.725320243,0,4.611217844,0,0,0,1.419183286,0,0,2.253162319,0,4.043314032,0,0,0,0,0,0,0,11.1067393,0,0,0,1.628972275,0,0,0,0,0,7.012200642,0,2.944364269,0,5.017649759,0,0,0,0,0,0,0,0,0,0,0,3.09331226,0,2.590487573,6.652820217,0,0,3.409724814,1.812091993,0,0,0,11.30067123,0,0,0,0,0,0,0,0,0,0,0,3.409724814,7.555414147,0,0,0,0,4.149211173,0,6.214365886,0,0,0,0,0,0,5.49029556,0,0,0,0,0.504452783,0,0,4.369710999,0,0,0,0,0,0,0,6.20620993,0,0,0,2.77824907,0,2.486569454,0,0,3.929023646,0,6.262356442,0,9.748086814,4.079483668,0,0,0,0,0,0,0,5.142576199,3.519117834,0,0,4.006214221,0,0,0,0,0,0,0,0,0,0,0,0,0,3.020759639,4.508836142,0,4.508836142,0,0,0,0,3.761025167,0,0,0,0,0,0,0,4.901223034,2.944364269,6.591521172,0,0,0,1.628972275,0,0,1.419183286,0,0,0,0,0.504452783,0,0,1.419183286,0,0,6.514349527,4.560935,5.643119255,0,5.781293833,0,4.454785165,3.351751847,0,5.364018271,0,0,0,4.42698082,0,0,4.043314032,0,1.173610733,0,0,3.465457922,0,0,0,0,0,0,0,0,0,0,0,1.974564654,0,2.944364269,2.687420727,0,3.847468405,0,0,2.253162319,0,0,3.020759639,0,0,0,0,1.812091993,4.94108508,0,0,1.812091993,4.68350141,3.570853272,5.792232592,0,0,0.877485416,0,0,0,0,0,0,5.655152914,0,5.225618549,0,0,3.228311333,3.804894126,0,0,0,4.818034359,0,3.968135127,3.570853272,0,3.519117834,0,2.86369621,0,0,0,0,0,8.791247404,0,1.628972275,0,4.006214221,0,0,0,0,6.214365886,1.974564654,0,0,3.409724814,0,5.897287034,0,0,0,2.77824907,0,2.486569454,8.708495675,0,0,0,9.554477224,0,6.139247234,0,0,1.173610733,2.687420727,1.974564654,0,0,0,0,0,0,0,0,2.120578034,0,3.228311333,1.173610733,0,7.314924863,0,6.890233096,0,0,0,2.687420727,0,0,8.530498204,0,2.590487573,3.620797511,0,0,0,0,0,0,0,4.611217844,0,0,0,3.09331226,0,1.974564654,7.188148409,0,0,5.792232592,4.94108508,0,4.42698082,0,0,1.812091993,0,0,0,0,0,0.877485416,0,0,5.581397661,0,0,0,4.079483668,0,0,0,0,0,0,0,6.717370859,1.974564654,0,3.09331226,0,0,0,6.077991586,0,0,0,0,0,8.18319343,2.944364269,0,0,6.270201928,0,0,0,8.914005225,0,0,0,5.702308246,0,0,0,2.120578034,0,2.486569454,1.812091993,1.628972275,5.28877387,0,4.043314032,0,3.162390275,0,3.162390275,2.120578034,2.590487573,0,2.77824907,0,0,5.125378329,0.504452783,0,0,0,0,2.486569454,0,0,7.74468884,0,0,2.944364269,0,4.706812927,0,2.374580984,0,0,4.247863945,0,7.934378358,0,0,4.880871231,4.398630067,0,0,4.42698082,0,6.104563101,0,0,2.86369621,0,0,3.888822237,2.590487573,0,0,3.519117834,10.23112622,2.486569454,0,0,0,0,4.611217844,0,2.86369621,0,2.944364269,0,0,0,1.419183286,0,0,3.465457922,0,0,0,0,0,0,1.974564654,0,0,0,0,2.687420727,0,5.257541767,0,0,0,0,5.606404051,3.409724814,0,0,0,0,0,0,4.182850577,0,0,0,4.860228217,0,0,0,3.888822237,7.311127186,8.567579689,0,3.409724814,0,0,2.687420727,0,0,0,0,0,0,0,0,4.774569201,0,0,0,0,0,0,0,3.968135127,2.486569454,0,0,0,0.877485416,0,3.020759639,0,0,0,0,0,0,0,4.182850577,8.869508954,0,0,1.812091993,0,0,0,0,5.655152914,0,0,0,0,1.628972275,0,2.590487573,0,0,0,2.374580984,0,0,2.944364269,0,4.560935,2.944364269,0,0,0,0,0,0,0,0,0,0,3.291351421,2.486569454,0,0,0,0,5.349280071,4.880871231,0,0,0,0,0,0,0,1.628972275,3.715780309,0,0,3.888822237,0,0,0,0,0,1.419183286,0,0,0,0,0,2.86369621,2.590487573,0,0,0,4.369710999,0,0,4.611217844,0,0,0,0,0,0,0,1.173610733,0,0,0,0,0,0,0,1.812091993,0,0,0,0,0.504452783,6.147789526,3.020759639,5.349280071,0,2.86369621,0,0,0,0,4.454785165,0,0,0.504452783,0,0,0,0,0,0,8.336776954,3.519117834,0,0,0,0,0,4.635716982,0,0,0,3.228311333,0,6.069024536,0,0,0,0,0,0,0,6.004644362,4.079483668,0,1.628972275,5.334389755,0,0,1.419183286,3.09331226,0.504452783,3.228311333,2.374580984,0,5.530045754,4.72975375,4.560935,0.877485416,0,0,0,3.669070442,0,0,0,0,0,0,0.504452783,0,3.291351421,4.880871231,0,0,0,0,6.293485603,0,4.043314032,0,2.253162319,0,0,0,0,1.173610733,0,0,0,2.590487573,0,0,0,0,0,0,0,6.375781371,5.86656605,0,0,0,5.86656605,0,0,0,0,0,0,0,0,0,0,8.489080924,0,0,0,5.225618549,0,6.494393909,0,0,3.968135127,0,3.888822237,0,6.122009396,6.694230689,3.519117834,0,2.374580984,0,10.40331661,0,0,0,0,0,4.043314032,0,5.845715836,4.149211173,0,6.800983846,0,0,0,0,0,0,0,3.291351421,4.043314032,0,0,0,0,0,0,0,0,0,7.067273952,4.310073459,0,0,0,0,2.77824907,0,0,0,0,2.120578034,0,2.253162319,0,0,7.035403878,0,0,0,5.747970938,0,0,2.590487573,0,2.944364269,0,0,0,4.279303988,0,9.394096545,0,3.715780309,0,11.54194121,0,0,3.291351421,0,0,0,0,0,0,0,0,6.36849093,1.974564654,5.618746562,3.888822237,0,2.944364269,2.120578034,0,3.465457922,4.114768633,0,0,0,0,0,3.761025167,2.77824907,0,0,0,0.504452783,7.624367429,0,0,0,7.684314899,1.974564654,11.71052914,0,0,4.979875276,0,0,0,2.120578034,3.929023646,0,2.590487573,3.570853272,0,0,0,0,0,0,0,1.812091993,3.465457922,0,0,0,0,0,3.715780309,1.974564654,0,0,3.968135127,0,0,0,0,0,0,0,0,0,3.888822237,0,0,0,0,8.453347303,0,0,5.37860743,0,0,3.228311333,0,0,3.228311333,6.156281537,8.336776954,0,0,0,5.568730026,4.796465462,0,0,9.548038008,0,0,2.120578034,0,0,3.715780309,4.752335485,4.560935,0,0,0,4.796465462,5.747970938,0,2.590487573,0,0,3.715780309,0,4.310073459,4.043314032,0,2.374580984,0,0,0,0,0,0,0,3.847468405,5.736690043,0,5.516917006,0,0,0,3.291351421,8.512420915,0,3.968135127,0,0.504452783,0,5.319344149,0,1.419183286,0,0,0,0,0,0,0,6.04178405,0,0,0,0,3.351751847,4.839285535,1.628972275,0,0,0,4.42698082,3.291351421,0,4.340200366,0,0,0,5.334389755,0,0,0,1.419183286,0,0,0,0,3.351751847,0,0,3.351751847,2.120578034,0,0,2.77824907,0,0,0,1.628972275,1.419183286,1.812091993,0,0,8.714258458,4.247863945,0,0,0,0,0,0,0,0,0,0,0,7.802637409,6.610185902,4.508836142,0,0,0,0,5.241668454,0,0,0,0,0,0,0,0,0,0,4.960610545,0,0,0,0,0,0,0,2.944364269,3.409724814,0,0,0,0,0,0,0,2.944364269,4.149211173,0,0,0,0,0,2.374580984,0,2.253162319,5.897287034,0,8.642026751,0
Control-6,5.472544943,0,0,6.679005349,0,4.428132958,0,0,0,0,0,2.897552731,0,0,0,0,0,1.742455147,0,0,11.94290679,0,0,0,0,0,0,8.887912921,0,0,0,0,0,0,3.203380299,1.119701803,0,0,0,0,0,0,0,0,0,0,0,0,7.205818326,0,3.203380299,0,0,0,0,0,0,0,0,8.73941934,0,0,0,0,1.742455147,0,0,10.67146325,0,0,2.176023217,0,0,2.508956474,0,2.897552731,0,6.204126486,0,0,0,0,0,1.975465593,0,0,0,0,0,0,0,0,0,0,2.650441151,3.602135558,6.249318546,0,0,0,0,0,0,0,11.54274397,2.897552731,2.897552731,0,1.742455147,0,0,0,5.810750654,0,0,0,0,8.046267906,1.975465593,0,0,0,0,0,5.994502751,2.352072559,0,0,0,0,0,5.105639741,0,0,0,3.292436338,0,0,0,4.541477051,0,0,3.670183778,0,0,0,0,7.15328828,0,0,0,0,0,0,0,0,3.856959411,0,6.226899462,1.464422984,9.145666998,0,0,1.975465593,0,0,0,0,0,5.994502751,5.311418736,0,0,0,0,0,1.464422984,0,0,6.645589766,0,0,0,0,0,0,0,2.176023217,3.10846314,0,0,3.203380299,0,0,0,4.347299885,0,0,0,0,0,0,0,2.77928129,0,7.987468242,0,0,0,1.119701803,0,0,0,0,6.679005349,0,0,0,0,0,0,0,2.650441151,4.744508356,5.912590869,0,1.119701803,5.268159516,3.006858684,0,0,0,0,1.742455147,0,0,0,0,0,5.764803508,0,0,0,0,0,0,0,0,0,1.742455147,1.464422984,0,0,0,2.650441151,0,0,0,3.10846314,0,0,4.612376714,0,1.464422984,0,4.744508356,0,0,5.289951261,0,4.022302723,0,3.292436338,3.376313199,0,0,0,5.840588749,0,0,0,0,0,0,0,0,0,5.130008111,0,5.898475057,0,4.712592553,0,0,0,3.376313199,0,0,0,5.055632307,2.77928129,0,3.530718105,0,0,5.130008111,3.203380299,0,0,0,0,0,8.087291733,0,0,0,0,3.530718105,0,0,0,5.994502751,0,0,0,2.650441151,1.742455147,6.387120334,0,0,0,0,5.200736842,3.292436338,0,0,0,4.80629684,11.97457965,0,5.491476978,0,0,0,2.77928129,0,0,1.464422984,0,0,0,0,0,0,2.352072559,0,3.914205368,0,6.585182837,6.857433808,0,6.456206857,0,0,0,0,0,0,8.218074919,0,0,0,0,1.975465593,0,0,0,0,0,5.177543752,0,0,0,0,0,0,6.7902171,0,0,6.907630792,0,0,5.200736842,2.508956474,0,0,0,0,0,0,0,0,0,1.742455147,4.170629959,1.464422984,0,0,4.388282474,7.222911731,0,0,2.352072559,0,0,0,5.926569904,0,0,0,0,0,0,7.696631064,0,2.352072559,0,0,0,9.723788538,4.022302723,0,0,4.836226241,0,2.176023217,0,0,0,0,0,7.66362592,0,5.153971705,0,2.508956474,0,0,3.455580322,2.352072559,0,0,4.744508356,0,0,0,3.914205368,0,0,0,0,0,0,0,0,1.742455147,0,0,0,0,0,0,5.003829056,1.119701803,2.508956474,1.975465593,0,3.455580322,0,3.530718105,0,0.665856855,0,0,8.084177139,0,0,5.33257145,0,0,0,0,0,5.994502751,0,3.292436338,0,0,0,0,4.073458411,0,0,4.977212767,5.940414788,0,0,0,0,0,3.670183778,0,0,3.455580322,0,3.735166392,0,0,0,0,0,3.376313199,0,3.006858684,0,0,0,0,0,0,6.703568725,0,0,0,0,2.897552731,0,0,0,2.897552731,4.541477051,0,0,0,0,0,0,0,3.292436338,0,0,0,5.528611646,0,0,0,3.856959411,9.192697755,7.273009376,3.735166392,2.897552731,1.975465593,0,4.466912205,0,0,0,0,0,0,3.376313199,3.96926624,4.466912205,0,0,0,0,0,0,0,5.981169676,2.352072559,4.26166757,0,0,0,0,4.122862144,0,0,4.541477051,0,0,0,0,3.797347749,10.38675697,0,0,0,0,0,5.353418501,0,5.029963183,0,0,0,0,0,0,0,0,0,0,4.216866732,3.376313199,0,4.216866732,9.434438686,0,0,0,0,0,0,0,0,1.742455147,0,0,0,4.646561349,2.352072559,0,0,0,0,0,4.388282474,0,0,0,0,0,0,2.176023217,0,4.122862144,0,0,0,0,0,0,0,0,0.665856855,5.177543752,0,0,0,0,2.508956474,0,0,3.455580322,0,5.153971705,0,0,4.428132958,0,0,1.742455147,0,0,2.650441151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.003829056,0,5.080852686,0,0,0,0,0,2.176023217,3.856959411,0,0,0,1.464422984,1.464422984,1.464422984,0,0,0,8.632611499,0,0,2.508956474,0,0,2.508956474,9.532530174,0.665856855,0,0,0,0,6.180988264,0,0,0,0,0,0,0,7.91569542,5.884219765,3.455580322,0,5.701171782,0,0,0,0,0,0,9.017649297,0,0,3.10846314,4.170629959,0,1.742455147,0,2.897552731,0,0.665856855,2.352072559,0.665856855,0,1.742455147,0,1.975465593,0,0,4.347299885,0,0,1.742455147,0,5.651535729,0,0,0,0,0,0,0,1.464422984,0,0,0,0,0,0,4.744508356,0,0,0,0,0,8.218074919,9.614693655,0,0,0,5.564814413,0,0,0,0,1.975465593,2.77928129,0,2.508956474,0,0,9.133665784,2.650441151,0,0,4.073458411,0,0,0,0,0,5.029963183,0,0,5.200736842,5.651535729,0,0,3.006858684,0,9.794096617,1.975465593,0,0,0,0,5.617470158,5.528611646,0,5.223562965,1.119701803,6.303887852,0,0,0,0,0,0,0,4.073458411,0,0,0,0,0,0,0,0,0,2.508956474,6.249318546,4.744508356,4.646561349,0,0,1.464422984,3.292436338,0,3.203380299,0,0,0,0,0,0,0,7.003070654,1.119701803,0,0,0,0,0,0,0,0,0,0,0,0,0,8.621912219,0,0,1.464422984,11.31294449,0,0,4.170629959,0,0,0,0,0,0,0,0,6.654016501,0,4.347299885,0,0,0,3.10846314,1.119701803,0,0,0,0,0,0,0,0,2.77928129,0,0,0,0,7.398674744,0,0,0,9.173776034,0,10.35609694,0,0,5.564814413,0,0,0,0,0,0,0,3.006858684,0,0,0,0,2.508956474,4.26166757,0,2.176023217,3.455580322,2.897552731,0,0,0,0,0,0,2.352072559,0,0,3.797347749,5.472544943,0,0,0,0,0,0,0,4.022302723,2.508956474,0,0,0,8.810873129,0,0,0,0,0,0,0,0,0,5.546826585,7.634113735,0,0,0,5.353418501,0,0,0,9.212801226,0,0,0,2.650441151,1.742455147,0,5.33257145,0,0,0,0,4.80629684,6.695427313,0.665856855,2.897552731,0,0,0,0,4.122862144,4.950096189,0,2.352072559,0,2.508956474,0,0,0,0,0,4.744508356,6.512899724,0,6.366758047,2.176023217,0,0,0,8.389355358,3.735166392,0,1.975465593,0,0,5.884219765,0,0,0,0,3.006858684,0,5.177543752,0,0,6.033778214,0,0,0,0,3.602135558,5.268159516,0,0,0,0,0,10.53953692,0,0,0,0,0,6.07201273,0,0,3.602135558,0,0,1.464422984,0,0,4.305118981,0,0,0,2.77928129,0,0,0,0,0,0,0,0,0,0,0,8.451102316,5.394230077,0,0,0,0,0,1.742455147,0,0,0,0,0,7.764356025,6.08453566,4.305118981,0,0,2.508956474,0,5.96771223,0,0,3.10846314,0,1.119701803,0,0,3.292436338,0,0,4.612376714,0,0,0,0,0,0,4.712592553,0,2.352072559,1.742455147,0,4.646561349,0,0,0,0,0,6.886331297,0,0,1.119701803,0,0,2.897552731,0,0,7.559822809,3.670183778,8.443830714,0
